Chatgpt-4o-latest,Claude-3-5-sonnet-20241022,Google-gemini-1.5-pro,Gemma2:9b-instruct,Llama3.1:8b-instruct-q5_0
0.5,1,0.5,0,0
0,0,1,0,0
0,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,0,0.5,0,0
0.5,1,1,0,0
0.5,1,1,0,0
1,1,0,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,0.5,0,0
1,1,0.5,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
0.5,0.5,0.5,0,0
0,1,0.5,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0.5,0.5,0,0.5,0
1,0.5,0.5,0.5,0
1,1,1,0.5,0
0.5,1,0.5,0,0
1,1,1,1,0
1,1,1,0,0
0.5,1,0.5,0,0
0,0.5,0,0,0
1,1,0.5,0,0
1,1,1,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0.5,0.5,1,0,0
1,0.5,1,0,0
0.5,0.5,1,0,0
0.5,1,0,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,0,0,0,0
0.5,0.5,0.5,0,0
1,0.5,0,0,0
0.5,0,0,0,0
0,0,0,0,0
1,1,1,0,0
0.5,0,0.5,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
0.5,0.5,0.5,0,0
0.5,0.5,0.5,0,0
1,0.5,1,0,0
0.5,0,1,0,0
1,0.5,1,0,0
0,0,0.5,0,0
1,1,1,0,0
0.5,1,1,1,0
1,1,1,0,0
0.5,0,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,0.5,0.5,0,0
1,0,0,0,0
0.5,0.5,0,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0,0,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,1,0.5,0
0.5,0,0,0,0
0.5,0,1,0,0
0.5,0.5,1,0,0
0,0,0,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
0.5,1,0.5,0,0
1,0.5,0.5,0,0
1,1,1,0.5,0
1,1,1,0,0
1,0.5,0.5,0,0
1,0,0.5,0,0
0.5,1,1,0,0
1,1,1,0.5,0
1,1,0.5,0,0
0,0,0,0,0
0.5,1,1,0,0
1,1,1,0.5,0
1,0.5,0.5,0,0
0.5,1,0.5,0,0
0.5,0,0,0,0
0.5,1,1,0,0
0.5,1,1,0,0
0.5,1,1,0,0
0.5,1,0.5,0,0
0.5,1,1,0,0
0.5,0.5,0.5,0,0
1,1,0.5,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
1,1,1,1,0
1,1,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
0,0,0,0,0
0,0,0,0,0
0.5,0.5,0.5,0,0
0,0,0,0,0
1,1,1,1,0
0.5,0,0.5,0,0
0,0,0,0,0
0.5,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
0,0.5,0,0,0
0,0,0,0,0
0.5,1,1,0,0
0.5,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0.5,1,1,0,0
0,0,0,0,0
1,1,1,0,0
0,0,0,0,0
1,0.5,1,0,0
1,1,1,0,0
0,0,0,0,0
0,0,1,0,0
1,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,0,1,0,0
1,1,1,1,0
1,1,1,0,0
1,1,0,0,0
1,1,0.5,1,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
0.5,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,1,0,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
0,0,0.5,0,0
0,1,1,0,0
1,1,1,0,0
0.5,0,0.5,0,0
1,0.5,0.5,0,0
0.5,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
1,1,1,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0.5,0,0
0.5,0,0,0,0
0.5,0.5,1,0,0
0,0,0,0,0
0,1,0,0,0
0.5,0.5,1,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
0,1,0,0,0
1,0.5,1,0,0
1,0.5,1,0,0
1,1,1,1,0
1,0.5,0.5,0,0
1,0.5,0.5,0,0
1,0.5,0.5,0,0
0,0,0,0,0
1,0,1,0,0
0,0.5,1,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,0
0,0,0,0,0
0.5,1,0.5,0,0
1,1,0,0,0
0,0,0,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0,0,0
0,0,0,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0,0,0,0
0,0,0,0,0
1,1,1,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,0,0,0
0.5,1,0.5,0,0
0,0.5,0,0,0
0,0,0,0,0
0.5,0,1,0,0
1,1,1,0,0
0.5,1,0,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
1,1,0.5,0,0
1,0.5,0,0,0
0,0.5,0,0,0
1,0.5,0,0,0
1,1,0.5,0,0
0.5,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,1,1,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0,0,0,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
1,1,0,0,0
1,1,0.5,0,0
1,0.5,0.5,0,0
1,1,1,1,0
1,0.5,0,0,0
0.5,1,0.5,0,0
1,1,1,0,0
0.5,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0.5,1,1,0,0
1,1,1,0,0
0.5,0,0,0,0
1,1,1,1,0
0.5,0,0,0,0
0.5,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
1,1,0.5,0,0
1,1,1,0,0
0,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,0.5,0,0
1,1,0.5,0,0
0.5,0.5,0,0,0
0.5,1,0.5,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0.5,1,0.5,0,0
0,1,1,0,0
0,0.5,0.5,0,0
1,1,1,0,0
0.5,0,0.5,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,0
0,0,0,0,0
1,1,1,1,0
1,1,1,0,0
0.5,0,0.5,0,0
0,1,0.5,0,0
0,1,0,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,1,1,0,0
0,1,0.5,0,0
0,0,0.5,0,0
1,1,1,1,0
0.5,1,0.5,0,0
0,0.5,0,0,0
0,0,0,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
0,0.5,0,0,0
0.5,1,1,0,0
0.5,0.5,0,0,0
0.5,0,0,0,0
0,0,0,0,0
0,0.5,0.5,0,0
0,0,0.5,0,0
0,0,0,0,0
1,1,1,0,0
1,0,0,0,0
1,1,1,0,0
0,0,0,0,0
0,1,0.5,0,0
1,1,1,1,0
0.5,1,0,0,0
1,1,1,0,0
1,1,1,0,0
0,1,0,0,0
0,0.5,0.5,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0,1,0,0,0
1,0.5,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
0,0.5,0.5,0,0
1,0,0,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,0,0,0
0.5,0,1,0,0
1,1,1,0,0
1,1,1,0,0
0,1,0.5,0,0
0,0,0,0,0
0,1,0,0,0
0,0.5,0,0,0
0.5,0.5,0.5,0,0
0.5,0,0.5,0,0
0.5,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,0,0
0.5,1,1,0,0
0.5,1,1,1,0
1,1,0,0,0
1,0.5,1,0,0
1,1,1,0,0
0,1,1,1,0
1,1,1,0.5,0
1,1,1,1,0
1,1,1,1,0
1,1,0,0.5,0
1,0,0.5,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
0,0.5,0,0,0
0.5,1,1,0,0
0,0,0,0,0
0,0.5,0,0,0
1,1,1,0,0
1,0,1,0,0
0.5,0,0,0,0
1,1,1,1,0
