gpt-4-1106-preview,claude-3-5-sonnet-20241022,gemini 1.5-pro,llama3.1:8b-instruct-q5_0,gemma2:9b-instruct-q5_0
1,1,1,0,0
1,0.5,0.5,0,0
1,1,1,0,0
1,0.5,1,0,0
0.5,1,0.5,0,0
0.5,0.5,0.5,0,0
0.5,1,0.5,0,0
0.5,1,0.5,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
0.5,1,0.5,0.5,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
0.5,0.5,1,0,1
0.5,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,0.5,0,0.5
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
0.5,0,1,0,0
0.5,0.5,1,0,0
1,1,0.5,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
1,0.5,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0.5
1,1,1,0,0
1,0.5,1,0,0
1,0.5,0,0,0
1,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,0.5,0,0
1,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,0.5,0,0
0.5,0.5,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,1,1,0.5,0
1,0.5,0.5,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,0.5,0,0
0.5,1,1,0,0
0.5,0.5,0.5,0,0
1,0.5,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0.5
1,1,1,0,1
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,0.5,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,0.5,1,0,0.5
1,0.5,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,0.5,1,0,0
1,1,0.5,0,0
1,0,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
1,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
0.5,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,0.5,0.5,0,0
1,0.5,1,0,0
0.5,1,0.5,0,0
1,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,0.5,0,0
0,0,0.5,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,1,1,0
0.5,0.5,0.5,0,0
1,1,0.5,0,0
1,0.5,1,0,0
1,0.5,1,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
0.5,1,0.5,0,0
0.5,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,0.5,1,0.5,1
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0.5
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,1,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,1,0
1,1,1,0.5,0
1,0.5,1,0,1
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0.5
1,1,1,0,0
1,0,1,0,0
0,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
0.5,1,0.5,0,0.5
0,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0.5
0.5,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,0.5,0.5,0,0
1,0.5,1,0,0
0.5,1,0.5,0,0
0.5,0.5,0.5,0,0
1,0.5,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,0.5,1,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,1,0,0
1,0.5,1,0,0
1,0.5,0.5,0,0
1,0.5,1,0,0
1,0,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,0.5,0,0
1,0.5,1,0,0
1,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
0.5,1,0.5,0,0.5
1,1,0.5,0,0
0.5,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,0.5,0,0
0,1,0,0,0
1,1,0.5,0,0
1,1,1,1,0
1,1,0.5,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,0.5,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0,1,0,0
1,0,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,0,1,0,0
1,0,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,1,0,0
1,0,1,0,0
1,0.5,0.5,0,0
0.5,0.5,1,0,0
0,1,0,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,1,0.5,0,1
0.5,1,0.5,0,0
1,0.5,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,0,1,0,0
1,0,0.5,0,0
1,0.5,1,0,0
1,1,0.5,0,0
1,0,1,0,0
0.5,1,1,0,0
1,0.5,1,0,0
0.5,0.5,1,0,0
0.5,1,1,0,0
1,0.5,0,0,0.5
1,1,1,0,0
1,0.5,1,1,0
0.5,1,0.5,0,0
1,0,1,0,0
1,0,1,0,0
1,1,1,0,0
1,0,1,0,0
0.5,0.5,1,0,0
1,0,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0.5,1,0.5,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0.5,1,1,0,0
1,0.5,0.5,0,0
0.5,1,0.5,0,0
0.5,1,1,0,0
0.5,1,1,0,0
1,1,0.5,0,0
1,1,0.5,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
0.5,1,1,0,0
0.5,1,1,1,0
0.5,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,1,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
0.5,1,1,0,0
1,0.5,0.5,0,0
1,1,0.5,0,0
0.5,0,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,0.5,0.5,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
0,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0.5,1
1,0.5,1,0,0
1,1,1,0,1
1,1,1,0,0
1,0.5,1,0,0
0.5,1,0.5,0,0
0,1,0,0,0
0.5,1,0.5,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
0,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,0.5,0,0
1,1,0,0,0
